(0.0, 0.0, 2.6850287766366486e-09)
(0.0, 0.0, 2.706856486932728e-09)
(0.0, 0.0, 2.728684197228808e-09)
(0.0, 0.0, 2.7505119075248873e-09)
(0.0, 0.0, 2.772339617820967e-09)
(0.0, 0.0, 2.794167328117047e-09)
(0.0, 0.0, 2.8159950384131264e-09)
(0.0, 0.0, 2.837822748709206e-09)
(0.0, 0.0, 2.866926362437312e-09)
(0.0, 0.0, 2.8887540727333916e-09)
(0.0, 0.0, 2.910581783029471e-09)
(0.0, 0.0, 2.9324094933255504e-09)
(0.0, 0.0, 2.95423720362163e-09)
(0.0, 0.0, 2.9760649139177093e-09)
(0.0, 0.0, 2.9978926242137887e-09)
(0.0, 0.0, 3.0269962379418946e-09)
(0.0, 0.0, 3.048823948237974e-09)
(0.0, 0.0, 3.0706516585340534e-09)
(0.0, 0.0, 3.0924793688301325e-09)
(0.0, 0.0, 3.114307079126212e-09)
(0.0, 0.0, 3.136134789422291e-09)
(0.0, 0.0, 3.1579624997183703e-09)
(0.0, 0.0, 3.1797902100144498e-09)
(0.0, 0.0, 3.2016179203105288e-09)
(0.0, 0.0, 3.2307215340386343e-09)
(0.0, 0.0, 3.2525492443347137e-09)
(0.0, 0.0, 3.2743769546307927e-09)
(0.0, 0.0, 3.2962046649268717e-09)
(0.0, 0.0, 3.3180323752229507e-09)
(0.0, 0.0, 3.33986008551903e-09)
(0.0, 0.0, 3.3616877958151087e-09)
(0.0, 0.0, 3.3907914095432142e-09)
(0.0, 0.0, 3.4126191198392932e-09)
(0.0, 0.0, 3.4344468301353723e-09)
(0.0, 0.0, 3.4562745404314513e-09)
(0.0, 0.0, 3.4781022507275303e-09)
(0.0, 0.0, 3.499929961023609e-09)
(0.0, 0.0, 3.5217576713196875e-09)
(0.0, 0.0, 3.550861285047793e-09)
(0.0, 0.0, 3.572688995343872e-09)
(0.0, 0.0, 3.5945167056399506e-09)
(0.0, 0.0, 3.6163444159360296e-09)
(0.0, 0.0, 3.638172126232108e-09)
(0.0, 0.0, 3.659999836528187e-09)
(0.0, 0.0, 3.681827546824266e-09)
(0.00042262469651177526, -2.3011247321846895e-05, 0.0007292718613265171)
(0.004154277499765158, 2.2935582819627598e-05, 0.003135966757275868)
(0.01297440379858017, -0.000273758516414091, 0.004316550783697385)
(0.02187555842101574, -0.0006184598314575851, 0.004156820987398682)
(0.03280602768063545, -0.0009169133845716715, 0.004879169609588426)
(0.045756980776786804, -0.0012898844433948398, 0.005719048715972692)
(0.06093253567814827, -0.0014840051298961043, 0.0056146309997717235)
(0.07642510533332825, -0.0017099736724048853, 0.00616867223136462)
(0.0916445180773735, -0.0020314734429121017, 0.007613149196825144)
(0.10649434477090836, -0.002342668827623129, 0.007873247799463627)
(0.12609149515628815, -0.002701183082535863, 0.009182336486235435)
(0.14076919853687286, -0.0029237670823931694, 0.009209036369930968)
(0.15596197545528412, -0.003247127402573824, 0.009947593424528901)
(0.17097386717796326, -0.0035721780732274055, 0.011511916594279198)
(0.1863868534564972, -0.003744014771655202, 0.011684032300541127)
(0.2005801945924759, -0.00417710468173027, 0.013351715403624745)
(0.21517935395240784, -0.004395715426653624, 0.014676790208864898)
(0.2295907437801361, -0.004610355012118816, 0.015547060495903502)
